EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,MonthlyIncome,SalaryBand,DistanceFromHome,BusinessTravel,OverTime,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,PerformanceRating,Attrition
1001,21,Female,Divorced,Research & Development,Research Scientist,Life Sciences,6070,High,21,Travel_Rarely,No,0,0,1,0,7,5,2,1,4,1,2,2,3,No
1002,51,Male,Divorced,Sales,Sales Representative,Human Resources,12730,Very High,4,Travel_Rarely,No,27,27,13,24,0,2,0,1,2,2,1,1,3,No
1003,46,Male,Married,Sales,Sales Representative,Human Resources,8380,High,9,Non-Travel,No,23,18,15,18,1,0,0,2,3,3,1,1,3,No
1004,36,Male,Divorced,Research & Development,Research Director,Medical,8980,High,12,Travel_Rarely,No,16,13,13,13,9,2,1,4,2,2,3,4,3,No
1005,36,Male,Single,Research & Development,Manufacturing Director,Life Sciences,6470,High,6,Travel_Rarely,No,12,12,1,11,1,1,0,2,2,3,2,4,3,No
1006,54,Female,Married,Sales,Sales Representative,Other,5830,Medium,25,Travel_Rarely,No,30,29,15,29,6,2,2,1,2,4,2,3,4,Yes
1007,21,Male,Single,Sales,Sales Representative,Human Resources,7610,High,28,Travel_Frequently,No,1,0,0,0,9,4,1,2,2,2,1,4,4,No
1008,47,Male,Married,Research & Development,Research Scientist,Medical,5410,Medium,8,Travel_Rarely,No,26,22,11,21,1,6,1,4,4,4,4,2,3,No
1009,26,Male,Single,Sales,Manager,Technical Degree,4790,Medium,1,Travel_Rarely,No,2,1,1,0,0,0,1,3,4,3,2,3,4,No
1010,22,Male,Single,Research & Development,Research Scientist,Medical,5620,Medium,8,Travel_Frequently,No,0,0,1,0,8,3,1,3,3,4,3,4,3,No
1011,40,Male,Single,Research & Development,Research Director,Other,10460,Very High,17,Travel_Rarely,Yes,18,13,3,13,9,1,1,1,1,1,3,1,4,Yes
1012,59,Male,Married,Research & Development,Healthcare Representative,Marketing,5230,Medium,24,Travel_Rarely,No,37,33,15,32,5,3,1,4,1,2,1,2,3,Yes
1013,49,Female,Married,Research & Development,Research Director,Life Sciences,5520,Medium,10,Travel_Frequently,Yes,29,25,5,22,2,4,2,1,1,4,1,1,3,No
1014,50,Female,Married,Research & Development,Manufacturing Director,Medical,4580,Medium,8,Travel_Rarely,Yes,28,27,6,25,0,5,1,4,3,4,4,4,4,No
1015,48,Male,Single,Research & Development,Laboratory Technician,Technical Degree,9810,High,8,Non-Travel,No,25,22,15,20,9,3,0,4,4,3,4,4,3,No
1016,51,Male,Divorced,Sales,Manager,Other,8690,High,1,Travel_Rarely,Yes,30,26,1,24,7,1,1,3,2,1,2,3,3,No
1017,40,Female,Divorced,Research & Development,Laboratory Technician,Life Sciences,5630,Medium,1,Travel_Rarely,Yes,19,19,15,18,8,6,1,4,2,1,1,3,3,Yes
1018,23,Male,Single,Sales,Sales Representative,Human Resources,11600,Very High,13,Travel_Frequently,No,0,0,0,0,7,2,0,4,3,2,2,2,3,Yes
1019,54,Male,Married,Research & Development,Research Director,Technical Degree,5240,Medium,18,Travel_Rarely,No,32,27,1,24,4,3,1,3,4,4,4,1,4,No
1020,37,Female,Married,Research & Development,Healthcare Representative,Human Resources,6180,High,1,Travel_Frequently,Yes,16,11,9,10,4,4,0,4,2,2,3,4,3,No
1021,39,Male,Married,Sales,Manager,Human Resources,7530,High,6,Non-Travel,No,18,17,0,14,3,1,0,3,2,4,1,4,4,No
1022,33,Male,Married,Research & Development,Research Scientist,Life Sciences,4690,Medium,27,Travel_Frequently,Yes,11,7,2,7,7,6,2,3,3,3,3,4,4,Yes
1023,25,Male,Married,Research & Development,Healthcare Representative,Life Sciences,3620,Medium,29,Non-Travel,No,4,1,0,0,1,0,1,2,4,1,1,2,3,Yes
1024,57,Male,Single,Sales,Sales Executive,Other,6760,High,19,Travel_Frequently,No,35,32,15,31,0,1,0,3,3,3,2,1,3,No
1025,51,Male,Married,Research & Development,Manufacturing Director,Medical,9090,High,16,Non-Travel,Yes,27,24,9,22,9,6,3,2,3,2,2,3,3,Yes
1026,45,Female,Married,Research & Development,Healthcare Representative,Life Sciences,8830,High,17,Travel_Frequently,No,22,17,11,15,3,3,3,1,3,1,2,1,3,No
1027,35,Male,Married,Sales,Sales Representative,Marketing,5030,Medium,11,Travel_Frequently,No,14,12,0,11,0,6,2,2,1,3,3,1,3,No
1028,53,Male,Divorced,Sales,Manager,Human Resources,4110,Medium,6,Travel_Rarely,No,31,28,15,27,6,6,0,1,4,1,1,4,3,Yes
1029,41,Female,Single,Sales,Sales Representative,Other,4720,Medium,11,Non-Travel,No,19,15,11,13,3,6,0,4,1,4,4,4,3,No
1030,37,Male,Single,Research & Development,Laboratory Technician,Technical Degree,6080,High,21,Travel_Rarely,No,14,11,3,10,2,5,1,2,2,4,3,2,3,No
1031,37,Male,Single,Sales,Sales Executive,Medical,4360,Medium,20,Travel_Rarely,No,14,9,8,8,4,4,1,4,2,4,2,3,3,Yes
1032,27,Male,Single,Sales,Sales Representative,Marketing,8170,High,20,Travel_Rarely,No,5,4,2,3,4,4,1,2,3,1,4,3,3,Yes
1033,21,Female,Single,Sales,Manager,Other,13310,Very High,18,Travel_Rarely,No,0,0,1,0,6,4,1,2,1,4,2,1,3,Yes
1034,41,Male,Married,Sales,Sales Representative,Life Sciences,14150,Very High,2,Travel_Frequently,No,18,14,2,12,9,1,1,1,1,2,2,1,3,No
1035,56,Female,Married,Research & Development,Research Director,Technical Degree,10800,Very High,19,Travel_Frequently,Yes,36,31,15,31,8,5,3,4,4,3,1,2,3,No
1036,20,Female,Married,Sales,Sales Representative,Life Sciences,8300,High,26,Travel_Rarely,No,0,0,0,0,8,1,1,3,2,1,4,4,3,No
1037,54,Female,Married,Research & Development,Laboratory Technician,Medical,4370,Medium,19,Non-Travel,No,30,28,15,26,4,3,2,2,3,4,4,2,3,No
1038,53,Female,Single,Research & Development,Research Scientist,Medical,4030,Medium,17,Travel_Rarely,No,30,30,2,29,5,2,2,3,3,2,1,3,3,No
1039,29,Female,Married,Research & Development,Manufacturing Director,Other,10040,Very High,7,Travel_Rarely,No,7,2,0,0,1,5,0,4,3,3,4,1,3,No
1040,45,Female,Single,Sales,Manager,Human Resources,4660,Medium,23,Travel_Frequently,No,21,17,2,17,5,1,2,3,3,2,4,4,3,Yes
1041,25,Female,Divorced,Research & Development,Healthcare Representative,Life Sciences,4670,Medium,14,Travel_Rarely,Yes,3,2,2,2,6,1,0,2,3,4,2,4,4,No
